Company Name,Sales Growth,ROA,Total Accruals,Operating Cash Flow,CAPEX,R&D,Leverage Ratio,Working Capital Ratio,ForeignOp,ETR,Market-to-Book,Log(Total Assets),Big N,year,Bog Index,Tax Effectiveness,Accounting Analytics Mention,Fama-French industry code (5 industries),nyyear,NYWorking Capital Ratio,NYLeverage Ratio,NYROA,NYBig N,NYCAPEX,NYR&D,NYForeignOp,NYSales Growth,NYMarket-to-Book,NYETR,NYBog Index,NYAccounting Analytics Mention,Log(Total Assets),NYTax Effectiveness,NYTotal Accruals,NYOperating Cash Flow
OLYMPIC STEEL INC,0.289,0.044,0.111,-0.066,0.034,0.000,0.398,4.382,0.000,0.267,0.512,6.634,1.000,2018.000,85.000,0.244,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,4.153,0.329,0.006,0.000,0.016,0.000,0.000,-0.079,0.639,0.271,88.000,0.000,6.476,0.255,-0.194,0.199
NN INC,0.249,0.006,-0.045,0.051,0.032,0.000,0.582,2.024,1.000,1.000,1.647,7.216,1.000,2016.000,85.000,0.481,0.000,"Manufacturing, Energy, and Utilities",2017.000,4.402,0.536,0.111,1.000,0.030,0.000,1.000,-0.256,1.565,1.000,82.000,0.000,7.296,0.205,0.125,-0.041
NN INC,-0.256,0.111,0.125,-0.041,0.030,0.000,0.536,4.402,1.000,1.000,1.565,7.296,1.000,2017.000,82.000,0.205,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.047,0.540,-0.176,1.000,0.043,0.000,1.000,0.243,0.675,0.040,91.000,0.000,7.314,0.061,-0.203,0.027
NN INC,0.243,-0.176,-0.203,0.027,0.043,0.000,0.540,2.047,1.000,0.040,0.675,7.314,1.000,2018.000,91.000,0.061,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.172,0.542,-0.030,1.000,0.035,0.000,1.000,0.100,1.108,0.066,92.000,0.000,7.341,0.072,-0.062,0.032
COPART INC,0.107,0.164,-0.038,0.202,0.105,0.000,0.342,1.791,1.000,0.317,7.172,7.408,1.000,2016.000,97.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.944,0.278,0.199,1.000,0.087,0.000,1.000,0.142,6.610,0.104,97.000,0.000,7.592,1.000,-0.049,0.248
COPART INC,0.142,0.199,-0.049,0.248,0.087,0.000,0.278,1.944,1.000,0.104,6.610,7.592,1.000,2017.000,97.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.558,0.173,0.181,1.000,0.125,0.000,1.000,0.247,8.490,0.257,102.000,0.000,7.744,1.000,-0.051,0.232
SCANSOURCE INC,0.100,0.043,0.008,0.035,0.008,0.000,0.052,2.100,1.000,0.337,1.227,7.307,0.000,2016.000,88.000,0.503,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.952,0.057,0.040,0.000,0.005,0.000,1.000,0.008,1.224,0.318,88.000,0.000,7.449,0.568,-0.015,0.055
SCANSOURCE INC,0.008,0.040,-0.015,0.055,0.005,0.000,0.057,1.952,1.000,0.318,1.224,7.449,0.000,2017.000,88.000,0.568,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.918,0.128,0.017,0.000,0.004,0.000,1.000,0.078,1.190,0.456,90.000,0.000,7.573,0.659,0.003,0.014
MOTORCAR PARTS OF AMER INC,0.223,0.026,-0.012,0.037,0.009,0.007,0.053,1.066,0.000,0.521,3.339,6.024,1.000,2016.000,86.000,0.547,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,0.855,0.043,0.086,1.000,0.011,0.009,0.000,0.142,2.304,0.315,85.000,0.000,6.078,1.000,0.098,-0.012
MOTORCAR PARTS OF AMER INC,0.142,0.086,0.098,-0.012,0.011,0.009,0.043,0.855,0.000,0.315,2.304,6.078,1.000,2017.000,85.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,0.744,0.036,0.033,1.000,0.020,0.012,0.000,0.016,1.472,0.523,93.000,0.000,6.204,1.000,0.061,-0.028
LIMONEIRA CO,0.114,0.026,-0.020,0.047,0.103,0.000,0.289,0.779,1.000,0.395,2.207,5.722,1.000,2016.000,78.000,0.429,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,0.979,0.301,0.019,1.000,0.038,0.000,1.000,0.085,2.469,0.384,78.000,0.000,5.826,0.644,-0.035,0.055
LIMONEIRA CO,0.085,0.019,-0.035,0.055,0.038,0.000,0.301,0.979,1.000,0.384,2.469,5.826,1.000,2017.000,78.000,0.644,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.147,0.183,0.048,1.000,0.067,0.000,1.000,0.067,1.990,-0.499,85.000,0.000,6.043,0.711,0.004,0.044
LIMONEIRA CO,0.067,0.048,0.004,0.044,0.067,0.000,0.183,1.147,1.000,-0.499,1.990,6.043,1.000,2018.000,85.000,0.711,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.108,0.265,-0.015,1.000,0.041,0.000,1.000,0.325,1.629,0.167,85.000,0.000,5.991,0.594,-0.018,0.003
GAMING PARTNERS INTL CORP,0.050,0.065,0.020,0.044,0.148,0.015,0.083,2.652,1.000,0.311,1.629,4.382,0.000,2016.000,77.000,0.544,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.448,0.063,0.043,0.000,0.052,0.018,1.000,-0.019,1.454,0.334,77.000,0.000,4.424,0.561,-0.078,0.122
GAMING PARTNERS INTL CORP,-0.019,0.043,-0.078,0.122,0.052,0.018,0.063,2.448,1.000,0.334,1.454,4.424,0.000,2017.000,77.000,0.561,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.642,0.000,0.047,0.000,0.031,0.050,1.000,0.079,1.648,0.193,69.000,1.000,4.377,0.748,-0.046,0.093
EAGLE MATERIALS INC,0.072,0.081,-0.060,0.141,0.065,0.000,0.265,3.151,0.000,0.304,3.270,7.541,1.000,2016.000,94.000,0.872,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.745,0.269,0.088,1.000,0.025,0.000,0.000,0.059,3.911,0.327,94.000,0.000,7.717,0.985,-0.059,0.148
EAGLE MATERIALS INC,0.059,0.088,-0.059,0.148,0.025,0.000,0.269,1.745,0.000,0.327,3.911,7.717,1.000,2017.000,94.000,0.985,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.558,0.262,0.108,1.000,0.056,0.000,0.000,0.145,3.510,0.056,99.000,0.000,7.770,0.835,-0.034,0.143
EAGLE MATERIALS INC,0.145,0.108,-0.034,0.143,0.056,0.000,0.262,2.558,0.000,0.056,3.510,7.770,1.000,2018.000,99.000,0.835,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.385,0.302,0.032,1.000,0.078,0.000,0.000,0.005,3.145,0.136,100.000,0.000,7.682,0.458,-0.130,0.161
AMERN EAGLE OUTFITTERS INC,0.073,0.135,-0.073,0.208,0.095,0.000,0.000,1.560,1.000,0.337,2.508,7.385,1.000,2016.000,82.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.825,0.000,0.119,1.000,0.091,0.000,1.000,0.025,2.282,0.366,82.000,0.000,7.486,0.920,-0.086,0.205
AMERN EAGLE OUTFITTERS INC,0.025,0.119,-0.086,0.205,0.091,0.000,0.000,1.825,1.000,0.366,2.282,7.486,1.000,2017.000,82.000,0.920,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.996,0.000,0.112,1.000,0.093,0.000,1.000,0.051,2.560,0.289,84.000,0.000,7.505,0.785,-0.105,0.217
AMERN EAGLE OUTFITTERS INC,0.051,0.112,-0.105,0.217,0.093,0.000,0.000,1.996,1.000,0.289,2.560,7.505,1.000,2018.000,84.000,0.785,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.928,0.000,0.138,1.000,0.099,0.000,1.000,0.063,2.828,0.241,89.000,0.000,7.551,0.787,-0.102,0.240
NEKTAR THERAPEUTICS,-0.283,-0.270,-0.064,-0.206,0.011,0.260,0.618,5.902,1.000,-0.006,19.786,6.344,1.000,2016.000,107.000,0.029,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,5.819,0.651,-0.190,1.000,0.019,0.260,1.000,0.719,19.786,-0.006,107.000,0.000,6.232,0.014,-0.032,-0.158
NEKTAR THERAPEUTICS,0.719,-0.190,-0.032,-0.158,0.019,0.260,0.651,5.819,1.000,-0.006,19.786,6.232,1.000,2017.000,107.000,0.014,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,10.848,0.153,0.208,1.000,0.007,0.186,1.000,0.719,3.321,0.002,112.000,0.000,7.673,1.000,-0.017,0.262
NEKTAR THERAPEUTICS,0.719,0.208,-0.017,0.262,0.007,0.186,0.153,10.848,1.000,0.002,3.321,7.673,1.000,2018.000,112.000,1.000,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,4.017,0.109,-0.223,1.000,0.013,0.220,1.000,-0.386,2.711,-0.001,111.000,0.000,7.590,0.474,-0.057,-0.166
DIVERSICARE HEALTHCARE SVCS,0.099,-0.011,0.023,-0.034,0.083,0.000,0.442,1.364,0.000,0.371,5.793,5.094,0.000,2016.000,86.000,0.438,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,1.131,0.445,-0.029,0.000,0.110,0.000,0.000,0.349,9.999,1.000,86.000,0.000,5.121,0.416,-0.101,0.072
SYPRIS SOLUTIONS INC,-0.368,0.096,0.125,-0.308,0.028,0.005,0.149,2.421,1.000,0.047,0.719,4.137,0.000,2016.000,90.000,0.184,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.850,0.172,-0.189,0.000,0.029,0.001,1.000,-0.104,1.746,0.054,89.000,0.000,4.046,1.000,-0.024,-0.165
SYPRIS SOLUTIONS INC,-0.104,-0.189,-0.024,-0.165,0.029,0.001,0.172,1.850,1.000,0.054,1.746,4.046,0.000,2017.000,89.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.566,0.150,-0.057,0.000,0.033,0.000,1.000,0.069,1.125,0.055,94.000,0.000,4.120,1.000,-0.088,0.031
SYPRIS SOLUTIONS INC,0.069,-0.057,-0.088,0.031,0.033,0.000,0.150,1.566,1.000,0.055,1.125,4.120,0.000,2018.000,94.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.705,0.262,-0.066,0.000,0.014,0.000,1.000,-0.001,1.237,0.001,93.000,0.000,4.095,1.000,0.031,-0.097
SIMPSON MANUFACTURING INC,0.084,0.092,-0.005,0.097,0.043,0.010,0.000,5.379,1.000,0.354,2.397,6.888,0.000,2016.000,83.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2017.000,4.278,0.003,0.089,0.000,0.056,0.010,1.000,0.135,3.033,0.359,86.000,0.000,6.945,1.000,-0.025,0.115
SIMPSON MANUFACTURING INC,0.135,0.089,-0.025,0.115,0.056,0.010,0.003,4.278,1.000,0.359,3.033,6.945,0.000,2017.000,86.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,3.955,0.002,0.124,0.000,0.029,0.011,1.000,0.104,2.847,0.264,123.000,0.000,6.929,0.591,-0.033,0.157
SIMPSON MANUFACTURING INC,0.104,0.124,-0.033,0.157,0.029,0.011,0.002,3.955,1.000,0.264,2.847,6.929,0.000,2018.000,123.000,0.591,0.000,"Manufacturing, Energy, and Utilities",2019.000,4.033,0.026,0.122,0.000,0.030,0.010,1.000,0.054,3.977,0.249,89.000,0.000,6.999,0.600,-0.065,0.188
MATTHEWS INTL CORP  -CL A,0.038,0.032,-0.035,0.067,0.020,0.007,0.404,2.214,1.000,0.305,2.756,7.645,1.000,2016.000,86.000,0.547,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.087,0.393,0.033,1.000,0.020,0.007,1.000,0.024,2.534,0.232,86.000,0.000,7.716,0.543,-0.033,0.067
MATTHEWS INTL CORP  -CL A,0.024,0.033,-0.033,0.067,0.020,0.007,0.393,2.087,1.000,0.232,2.534,7.716,1.000,2017.000,86.000,0.543,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.027,0.391,0.045,1.000,0.018,0.011,1.000,0.057,1.852,-0.093,91.000,0.000,7.773,0.625,-0.017,0.062
MILLER INDUSTRIES INC/TN,0.111,0.067,-0.003,0.070,0.084,0.006,0.017,2.132,1.000,0.359,1.626,5.695,0.000,2016.000,82.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.236,0.032,0.073,0.000,0.078,0.006,1.000,0.023,1.445,0.241,83.000,0.000,5.760,1.000,0.029,0.044
MILLER INDUSTRIES INC/TN,0.023,0.073,0.029,0.044,0.078,0.006,0.032,2.236,1.000,0.241,1.445,5.760,0.000,2017.000,83.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.214,0.042,0.092,0.000,0.036,0.008,1.000,0.157,1.352,0.190,77.000,0.000,5.909,1.000,0.032,0.059
MILLER INDUSTRIES INC/TN,0.157,0.092,0.032,0.059,0.036,0.008,0.042,2.214,1.000,0.190,1.352,5.909,0.000,2018.000,77.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.313,0.016,0.100,0.000,0.044,0.009,1.000,0.150,1.641,0.224,87.000,0.000,5.971,1.000,0.010,0.090
ADTRAN INC,0.061,0.053,-0.010,0.063,0.032,0.187,0.040,2.789,1.000,0.249,2.259,6.503,1.000,2016.000,89.000,0.558,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,3.867,0.038,0.036,1.000,0.022,0.195,1.000,0.047,1.884,0.467,89.000,0.000,6.506,0.590,0.099,-0.063
AMEDISYS INC,0.122,0.051,-0.034,0.085,0.021,0.000,0.120,1.185,0.000,0.389,3.112,6.599,1.000,2016.000,83.000,0.492,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,1.447,0.096,0.037,1.000,0.013,0.000,0.000,0.072,3.474,0.620,92.000,0.000,6.701,0.542,-0.093,0.130
AMEDISYS INC,0.072,0.037,-0.093,0.130,0.013,0.000,0.096,1.447,0.000,0.620,3.474,6.701,1.000,2017.000,92.000,0.542,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,1.007,0.008,0.166,1.000,0.009,0.000,0.000,0.081,7.775,0.244,96.000,0.000,6.575,0.807,-0.145,0.262
AMEDISYS INC,0.081,0.166,-0.145,0.262,0.009,0.000,0.008,1.007,0.000,0.244,7.775,6.575,1.000,2018.000,96.000,0.807,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,1.072,0.228,0.100,1.000,0.006,0.000,0.000,0.179,8.414,0.249,97.000,0.000,7.141,0.986,-0.060,0.160
DARLING INGREDIENTS INC,0.000,0.022,-0.061,0.083,0.052,0.000,0.368,1.977,1.000,0.125,1.077,8.455,1.000,2016.000,96.000,0.610,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.710,0.342,0.026,1.000,0.055,0.000,1.000,0.078,1.330,-1.000,95.000,0.000,8.509,0.375,-0.057,0.083
DARLING INGREDIENTS INC,0.078,0.026,-0.057,0.083,0.055,0.000,0.342,1.710,1.000,-1.000,1.330,8.509,1.000,2017.000,95.000,0.375,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.661,0.341,0.021,1.000,0.066,0.000,1.000,-0.075,1.394,0.102,96.000,0.000,8.495,0.324,-0.061,0.082
DARLING INGREDIENTS INC,-0.075,0.021,-0.061,0.082,0.066,0.000,0.341,1.661,1.000,0.102,1.394,8.495,1.000,2018.000,96.000,0.324,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.333,0.309,0.058,1.000,0.067,0.000,1.000,-0.007,1.792,0.156,97.000,0.000,8.584,0.464,-0.009,0.068
WILLAMETTE VALLEY VINEYARDS,0.083,0.059,-0.010,0.069,0.119,0.000,0.099,5.594,0.000,0.360,1.572,3.804,0.000,2016.000,69.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,4.730,0.114,0.050,0.000,0.066,0.000,0.000,0.074,1.495,0.131,68.000,0.000,4.089,1.000,0.008,0.042
WILLAMETTE VALLEY VINEYARDS,0.074,0.050,0.008,0.042,0.066,0.000,0.114,4.730,0.000,0.131,1.495,4.089,0.000,2017.000,68.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,5.308,0.102,0.047,0.000,0.086,0.000,0.000,0.107,1.170,0.274,56.000,0.000,4.119,1.000,0.009,0.037
WILLAMETTE VALLEY VINEYARDS,0.107,0.047,0.009,0.037,0.086,0.000,0.102,5.308,0.000,0.274,1.170,4.119,0.000,2018.000,56.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,4.983,0.155,0.037,0.000,0.078,0.000,0.000,0.072,1.120,0.275,63.000,0.000,4.218,1.000,-0.026,0.063
RELIANCE STEEL & ALUMINUM CO,-0.079,0.041,-0.043,0.085,0.021,0.000,0.249,4.098,1.000,0.280,1.393,8.911,1.000,2016.000,79.000,0.440,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,4.336,0.233,0.079,1.000,0.021,0.000,1.000,0.129,1.335,-0.064,79.000,0.000,8.956,0.491,0.028,0.051
RELIANCE STEEL & ALUMINUM CO,0.129,0.079,0.028,0.051,0.021,0.000,0.233,4.336,1.000,-0.064,1.335,8.956,1.000,2017.000,79.000,0.491,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,4.699,0.266,0.079,1.000,0.030,0.000,1.000,0.187,1.019,0.245,85.000,0.000,8.993,0.578,-0.004,0.083
RELIANCE STEEL & ALUMINUM CO,0.187,0.079,-0.004,0.083,0.030,0.000,0.266,4.699,1.000,0.245,1.019,8.993,1.000,2018.000,85.000,0.578,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,4.458,0.206,0.086,1.000,0.030,0.000,1.000,-0.049,1.538,0.240,98.000,0.000,9.003,0.615,-0.074,0.160
TESSCO TECHNOLOGIES INC,-0.034,0.032,-0.087,0.119,0.021,0.000,0.010,2.572,0.000,0.398,1.224,5.132,1.000,2016.000,85.000,0.540,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.207,0.000,0.008,1.000,0.015,0.000,0.000,0.005,1.212,0.419,85.000,0.000,5.159,0.533,-0.009,0.018
TESSCO TECHNOLOGIES INC,0.005,0.008,-0.009,0.018,0.015,0.000,0.000,2.207,0.000,0.419,1.212,5.159,1.000,2017.000,85.000,0.533,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.832,0.000,0.026,1.000,0.008,0.000,0.000,0.088,1.799,0.305,92.000,0.000,5.295,0.521,0.072,-0.046
KNIGHT-SWIFT TRPTN HLDGS INC,0.719,0.053,-0.058,0.111,0.096,0.000,0.110,1.476,0.000,0.238,0.793,8.976,0.000,2018.000,91.000,0.822,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,0.896,0.077,0.037,0.000,0.100,0.000,0.000,-0.094,1.080,0.251,92.000,0.000,9.022,0.723,-0.064,0.101
COVENANT LOGISTICS GROUP INC,-0.074,0.027,-0.138,0.165,0.175,0.000,0.304,1.537,0.000,0.382,1.493,6.431,1.000,2016.000,89.000,0.747,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,1.998,0.287,0.085,1.000,0.171,0.000,0.000,0.051,1.784,-1.000,89.000,0.000,6.476,0.670,-0.042,0.128
COVENANT LOGISTICS GROUP INC,0.051,0.085,-0.042,0.128,0.171,0.000,0.287,1.998,0.000,-1.000,1.784,6.476,1.000,2017.000,89.000,0.670,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,1.662,0.261,0.055,1.000,0.097,0.000,0.000,0.256,1.028,0.267,95.000,0.000,6.651,0.693,-0.106,0.161
COVENANT LOGISTICS GROUP INC,0.256,0.055,-0.106,0.161,0.097,0.000,0.261,1.662,0.000,0.267,1.028,6.651,1.000,2018.000,95.000,0.693,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,1.578,0.303,0.010,1.000,0.157,0.000,0.000,0.010,0.684,0.290,83.000,0.000,6.782,0.525,-0.063,0.073
SINGING MACHINE CO INC,0.243,0.163,-0.081,0.244,0.013,0.019,0.184,2.631,1.000,-0.063,2.161,2.348,0.000,2016.000,79.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.320,0.000,0.147,0.000,0.013,0.012,1.000,0.083,2.416,0.373,77.000,0.000,2.454,1.000,0.059,0.087
SINGING MACHINE CO INC,0.083,0.147,0.059,0.087,0.013,0.012,0.000,2.320,1.000,0.373,2.416,2.454,0.000,2017.000,77.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.440,0.020,0.012,0.000,0.020,0.016,1.000,0.149,2.011,0.782,71.000,0.000,2.539,1.000,0.068,-0.056
CANTERBURY PARK HOLDING CORP,0.004,0.085,-0.015,0.100,0.089,0.000,0.000,1.386,0.000,0.411,1.189,3.904,0.000,2016.000,82.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,1.424,0.000,0.075,0.000,0.069,0.000,0.000,0.086,1.762,0.105,83.000,0.000,3.999,1.000,-0.055,0.130
CANTERBURY PARK HOLDING CORP,0.086,0.075,-0.055,0.130,0.069,0.000,0.000,1.424,0.000,0.105,1.762,3.999,0.000,2017.000,83.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,1.205,0.002,0.093,0.000,0.090,0.000,0.000,0.038,1.348,0.258,87.000,0.000,4.118,1.000,-0.010,0.103
CANTERBURY PARK HOLDING CORP,0.038,0.093,-0.010,0.103,0.090,0.000,0.002,1.205,0.000,0.258,1.348,4.118,0.000,2018.000,87.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,0.448,0.002,0.042,0.000,0.175,0.000,0.000,0.001,1.166,0.314,87.000,0.000,4.181,1.000,-0.061,0.103
UNVL STAINLESS & ALLOY PRODS,-0.145,-0.018,-0.046,0.028,0.015,0.000,0.230,3.892,0.000,0.397,0.538,5.691,0.000,2016.000,79.000,0.391,0.000,"Manufacturing, Energy, and Utilities",2017.000,3.254,0.233,0.024,0.000,0.025,0.000,0.000,0.312,0.811,-1.000,79.000,0.000,5.772,1.000,0.020,0.003
UNVL STAINLESS & ALLOY PRODS,0.312,0.024,0.020,0.003,0.025,0.000,0.233,3.254,0.000,-1.000,0.811,5.772,0.000,2017.000,79.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.955,0.129,0.030,0.000,0.044,0.000,0.000,0.263,0.599,0.154,86.000,0.000,5.867,0.538,-0.017,0.047
UNVL STAINLESS & ALLOY PRODS,0.263,0.030,-0.017,0.047,0.044,0.000,0.129,2.955,0.000,0.154,0.599,5.867,0.000,2018.000,86.000,0.538,0.000,"Manufacturing, Energy, and Utilities",2019.000,3.820,0.173,0.012,0.000,0.047,0.000,0.000,-0.050,0.539,-0.133,86.000,0.000,5.909,1.000,0.024,-0.012
TRANS WORLD CORP/NV,0.256,0.096,-0.070,0.165,0.041,0.000,0.161,1.853,1.000,0.297,1.129,4.191,0.000,2016.000,81.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,1.389,0.175,0.022,0.000,0.091,0.000,1.000,0.016,0.618,0.323,83.000,0.000,4.439,1.000,0.045,-0.023
MIND TECHNOLOGY INC,-0.377,-0.287,-0.368,0.112,0.019,0.000,0.128,3.267,1.000,-0.395,0.446,4.903,0.000,2016.000,89.000,0.321,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,2.604,0.000,-0.350,0.000,0.010,0.010,1.000,-0.209,0.797,-0.058,86.000,0.000,4.551,0.268,-0.368,0.033
MIND TECHNOLOGY INC,-0.209,-0.350,-0.368,0.033,0.010,0.010,0.000,2.604,1.000,-0.058,0.797,4.551,0.000,2017.000,86.000,0.268,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,4.393,0.000,-0.286,0.000,0.018,0.020,1.000,0.177,0.837,-0.045,92.000,0.000,4.300,0.195,-0.296,0.010
MIND TECHNOLOGY INC,0.177,-0.286,-0.296,0.010,0.018,0.020,0.000,4.393,1.000,-0.045,0.837,4.300,0.000,2018.000,92.000,0.195,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,4.893,0.000,-0.304,0.000,0.085,0.018,1.000,-0.110,1.258,-0.013,91.000,0.000,4.179,0.180,-0.220,-0.084
NUTRISYSTEM INC,0.179,0.208,-0.098,0.262,0.096,0.000,0.000,1.751,0.000,0.343,10.882,5.039,1.000,2016.000,75.000,0.908,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.380,0.000,0.208,1.000,0.067,0.000,0.000,0.278,11.639,0.307,75.000,0.000,5.306,1.000,-0.109,0.262
NUTRISYSTEM INC,0.278,0.208,-0.109,0.262,0.067,0.000,0.000,2.380,0.000,0.307,11.639,5.306,1.000,2017.000,75.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.903,0.000,0.208,1.000,0.056,0.000,0.000,-0.008,8.845,0.217,84.000,0.000,5.319,1.000,-0.104,0.262
INSIGHT ENTERPRISES INC,0.021,0.038,-0.005,0.043,0.006,0.000,0.018,1.379,1.000,0.393,2.011,7.705,1.000,2016.000,81.000,0.645,1.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.536,0.110,0.034,1.000,0.007,0.000,1.000,0.222,1.626,0.430,81.000,1.000,7.896,0.676,0.125,-0.114
INSIGHT ENTERPRISES INC,0.222,0.034,0.125,-0.114,0.007,0.000,0.110,1.536,1.000,0.430,1.626,7.896,1.000,2017.000,81.000,0.676,1.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.522,0.070,0.059,1.000,0.006,0.000,1.000,0.056,1.465,0.228,90.000,1.000,7.929,0.776,-0.046,0.105
